channel_title,channel_id,subscriber_count,video_count,total_views,video_titles
JJ Olatunji,UCGmnsW623G1r-Chmo5RB4Yw,16300000,1342,4242525295,I HAVE RETURNED!
Central Cee,UCV_CsAy5CNBX_uwDQ7RMe1Q,3650000,50,1200179245,CENTRAL CEE - CC FREESTYLE
PostMaloneVEVO,UCOhtMAg7xh8wv_wUHMgFc-Q,3850000,120,9837993631,Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video)
FREDOPG,UChCu7JmWByOod4xdH7IVJ_g,430000,48,302041743,Fredo - Top G (Official Video)
IceSpiceVEVO,UCCdbL-yl7Qa_vurbYWdn5SA,12900,22,333915496,Ice Spice - Gimmie A Light (Official Video)
JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,29100000,2071,22327667904,"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V"
Megan Thee Stallion,UCKrdjiuS66yXOdEZ_cOD_TA,6100000,266,2779591704,Megan Thee Stallion - BOA [Official Video]
Clavish,UCGR9c3x1aWHzYE3_-r63aqQ,119000,83,79172167,Clavish ft D-Block Europe - Most Definitely (Official Video)
Charli XCX,UCOvEMf00DnwdkpOCRWdc6uA,2940000,246,1340011006,Charli XCX - 360 (Official Video)
DaFuq!?Boom!,UCsSsgPaZ2GSmO6il8Cb5iGA,41300000,291,16244063750,skibidi toilet 73 (full episode)
Bugzy Malone,UCLd_hRzn-yr9Nh73XNviNWg,672000,175,440243773,Bugzy Malone - Beauty & The Beast 2
Post Malone - Topic,UCyD3XWRK9ko-izf2nBSFitw,66200,1117,3953249029,I Had Some Help
STUDIO CHOOM [스튜디오 춤],UCEIi7zFR_wE23jFncVtd6-A,5170000,2264,3223930581,'Trendsetter' X 'HUMBLE.' covered by ENHYPEN NI-KI(니키) | May 2024 | Artist Of The Month (4K)
PearlescentMoon,UC1GJ5aeqpEWklMBQ3oXrPQQ,755000,266,57889431,Hermitcraft 10: Po Po Permit Purr Purr | Episode 14
